#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Ass,Passaggi,Pass Riusciti,% Pass Riusciti,Pass Chiave,Chance Create,Cross,Cross Riusciti,Cross no Corner
144,J. Lucumi,Dif,BOL,256.30,10.80,0.80,18,12,1224,0,1003,933,93.02,3,0,0,0,0
146,S. Romagnoli,Dif,FRO,256.10,8.30,0.90,23,20,1833,1,1056,931,88.16,2,1,0,0,0
149,E. Ndicka,Dif,ROM,253.30,14.40,-1.00,17,17,1513,1,1099,995,90.54,3,2,9,1,9
152,P. Dawidowicz,Dif,VER,248.00,9.30,0.50,21,19,1631,0,941,798,84.8,2,0,2,1,2
154,I. Monterisi,Dif,FRO,247.20,8.00,1.40,21,16,1446,2,931,757,81.31,5,1,5,1,5
159,Lazaro,Dif,TOR,241.20,9.30,0.70,24,19,1713,2,697,570,81.78,31,1,107,29,65
163,D. Bradaric,Dif,SAL,239.20,9.50,0.00,26,22,2046,3,891,734,82.38,24,2,49,11,46
165,R. Kristensen,Dif,ROM,238.50,9.70,-0.90,25,16,1480,1,711,571,80.31,10,1,37,8,37
167,S. Kjaer,Dif,MIL,236.80,11.20,0.50,16,13,1079,1,758,666,87.86,3,1,1,0,1
174,G. Magnani,Dif,VER,229.90,8.60,0.60,23,20,1764,0,747,614,82.2,5,1,12,1,12
178,M. Erlic,Dif,SAS,226.20,9.20,-0.30,23,22,1908,0,926,755,81.53,0,0,3,0,3
180,L. Ostigard,Dif,NAP,224.80,8.80,0.80,17,12,1054,0,835,737,88.26,3,0,1,0,1
183,C. Okoli,Dif,FRO,223.00,8.50,0.50,23,21,1945,0,1243,1038,83.51,3,0,1,0,1
185,F. Baschirotto,Dif,LEC,221.50,10.60,-2.50,26,26,2305,1,1235,1044,84.53,2,1,1,0,1
186,H. Kamara,Dif,UDI,221.30,7.90,-0.40,24,16,1347,0,396,309,78.03,15,2,45,13,45
187,A. Carboni,Dif,MON,220.90,8.60,1.10,17,12,1186,0,811,713,87.92,6,0,15,3,15
188,M. Lazzari,Dif,LAZ,219.70,11.30,-0.80,18,15,1305,2,631,564,89.38,7,2,46,8,46
191,G. Zappa,Dif,CAG,215.30,7.50,0.10,27,18,1895,1,837,618,73.84,19,1,54,15,54
195,L. Cacace,Dif,EMP,210.10,8.70,0.20,21,17,1587,0,713,556,77.98,14,0,49,11,35
197,A. Ismajli,Dif,EMP,208.10,8.70,0.20,21,18,1644,0,853,725,84.99,4,0,4,1,4
198,L. Ranieri,Dif,FIO,207.20,8.20,1.10,18,15,1347,0,850,718,84.47,3,0,10,2,10
199,F. Ebosele,Dif,UDI,206.80,7.90,-0.30,26,20,1595,0,286,203,71.48,15,1,39,9,39
201,J. Jesus,Dif,NAP,205.90,10.50,0.50,15,14,1307,0,1089,989,90.82,3,1,0,0,0
205,M. Thiaw,Dif,MIL,202.40,13.80,-1.40,14,13,1116,1,831,756,90.97,4,0,0,0,0
206,S. Birindelli,Dif,MON,202.30,7.30,0.30,24,11,1151,1,492,408,82.93,15,3,29,12,29
207,L. Spinazzola,Dif,ROM,202.00,10.80,-1.30,18,13,1100,2,521,426,81.77,24,5,69,20,69
208,Joao Ferreira,Dif,UDI,201.40,6.10,1.30,24,14,1386,1,539,415,76.99,10,1,16,8,16
209,D. Rugani,Dif,JUV,200.70,9.10,1.10,13,9,842,0,499,443,88.78,1,0,0,0,0
210,G. Kyriakopoulos,Dif,MON,200.40,9.30,-0.90,20,15,1343,3,689,590,85.63,18,3,70,24,55
211,K. De Winter,Dif,GEN,200.40,8.00,1.00,19,16,1478,1,684,596,87.13,5,1,3,0,3
213,S. Sabelli,Dif,GEN,198.00,8.60,-0.40,23,22,1878,0,529,331,62.57,16,3,80,17,80
214,Mario Gila,Dif,LAZ,196.10,7.20,1.30,14,14,1201,0,758,680,89.71,3,0,1,1,1
216,A. Gallo,Dif,LEC,195.50,7.50,-0.50,24,19,1583,2,656,489,74.54,29,6,82,24,81
217,S. Walukiewicz,Dif,EMP,193.80,8.40,0.60,18,16,1414,0,766,651,84.99,3,0,0,0,0
222,E. Holm,Dif,ATA,191.30,11.80,-1.70,17,8,696,1,251,175,69.72,3,2,26,5,26
226,Patric,Dif,LAZ,188.50,7.80,1.20,13,13,1025,0,763,679,88.99,1,0,1,0,1
233,F. Terracciano,Dif,MIL,182.60,7.60,-0.50,19,14,1296,1,533,395,74.11,18,2,59,21,47
236,M. Olivera,Dif,NAP,182.20,11.30,-0.70,14,10,876,1,538,467,86.8,11,0,21,8,21
237,R. Karsdorp,Dif,ROM,181.90,9.80,-0.30,14,12,987,2,448,361,80.58,9,2,20,5,20
244,T. Kristensen,Dif,UDI,176.40,8.80,-0.30,17,15,1332,0,514,424,82.49,1,0,0,0,0
246,P. Mazzocchi,Dif,NAP,175.30,9.50,-2.50,24,19,1555,2,634,482,76.15,15,2,51,12,50
247,T. Augello,Dif,CAG,174.50,8.20,-1.60,22,18,1588,1,676,501,74.11,19,4,101,23,80
250,P. Dorgu,Dif,LEC,173.10,5.80,0.70,21,8,850,0,414,348,84.06,12,2,26,4,26
251,A. Oyono,Dif,FRO,172.90,9.10,-1.00,16,14,1197,1,483,397,82.19,10,2,11,3,11
257,J. Zemura,Dif,UDI,169.90,7.00,-0.10,20,10,937,0,254,183,72.05,7,0,18,1,18
258,G. Ferrari,Dif,SAS,169.50,8.30,-0.70,20,14,1278,0,808,680,84.26,6,0,10,1,10
