Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Manuel Locatelli,1.8,0.8,1.4,0.0,1.6,0.7,0.7,0.0,6.88
Mattia De Sciglio,0.8,0.2,0.2,0.2,1.0,0.3,0.2,0.0,6.4
Mattia Perin,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.85
Matías Soulé,0.5,0.2,0.2,0.0,0.2,0.2,0.1,0.0,6.5
Moise Kean,0.3,0.2,0.5,0.0,0.1,0.1,0.0,0.0,6.33
Nicolò Fagioli,1.1,0.3,0.8,0.0,0.2,0.7,0.1,0.0,6.53
Nicolò Rovella,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.15
Paul Pogba,0.0,0.0,0.3,0.0,0.3,0.2,0.0,0.0,6.42
Samuel Iling-Junior,0.6,0.2,0.8,0.0,0.5,0.4,0.1,0.0,6.36
Tommaso Barbieri,1.0,0.0,1.7,0.0,0.3,1.7,0.0,0.0,6.07
Weston McKennie,0.9,0.7,0.9,0.0,0.9,0.2,0.3,0.0,6.59
Wojciech Szczesny,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.77
Ángel Di María,0.4,0.3,0.2,0.0,0.0,0.6,0.0,0.0,6.83
Adam Marusic,1.2,1.2,0.7,0.4,1.6,0.4,0.2,0.0,6.68
Alessio Romagnoli,1.0,1.1,1.0,0.3,3.1,0.3,0.8,0.0,6.86
Ciro Immobile,0.4,0.0,0.7,0.0,0.4,0.1,0.1,0.0,6.87
Danilo Cataldi,0.9,0.8,0.4,0.0,1.1,0.9,0.3,0.0,6.6
Elseid Hysaj,1.1,0.6,0.6,0.1,0.9,0.5,0.2,0.0,6.53
Felipe Anderson,2.1,0.8,1.1,0.0,0.6,1.4,0.2,0.0,7.09
Ivan Provedel,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6.89
Luca Pellegrini,0.1,1.0,0.7,0.0,0.4,0.4,0.0,0.0,6.33
Luis Alberto,1.4,0.3,0.4,0.0,0.1,1.4,0.2,0.0,6.98
Luka Romero,0.0,0.5,0.5,0.0,0.2,0.5,0.0,0.0,6.26
Luís Maximiano,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.33
Manuel Lazzari,1.1,0.6,0.5,0.2,1.0,0.5,0.2,1.0,6.56
Marco Bertini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Marcos Antônio,0.6,0.7,0.6,0.0,1.0,0.7,0.1,0.0,6.42
Mario Gila,0.8,0.8,0.3,0.8,0.5,0.3,0.0,0.0,6.27
Matteo Cancellieri,0.5,0.1,0.7,0.0,0.1,0.2,0.0,0.0,6.12
Mattia Zaccagni,1.2,0.6,1.5,0.0,0.2,0.7,0.1,0.0,7.16
Matías Vecino,1.5,0.5,0.8,0.0,1.2,0.8,0.3,0.0,6.54
Nicolò Casale,1.4,0.6,0.8,0.5,2.3,0.4,0.6,0.0,6.69
Patric,0.9,0.6,0.2,0.7,2.8,0.3,0.7,0.0,6.74
Pedro,1.0,0.2,0.7,0.0,0.1,0.5,0.1,0.0,6.63
Sergej Milinkovic-Savic,1.6,0.8,1.3,0.0,1.3,1.2,0.3,0.0,7.24
Stefan Radu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Toma Basic,0.2,0.3,0.5,0.0,0.3,0.2,0.0,0.0,6.22
Alessandro Tuia,1.4,2.1,1.3,0.3,4.0,0.9,0.1,0.0,6.68
Alexis Blin,2.0,1.0,1.3,0.1,1.9,1.0,0.4,0.0,6.6
Antonino Gallo,1.8,0.4,0.4,0.2,2.1,0.6,0.2,2.0,6.53
Assan Ceesay,0.7,0.1,1.1,0.0,0.6,0.2,0.1,0.0,6.43
Federico Baschirotto,1.1,1.0,1.0,0.7,5.0,0.4,0.8,0.0,6.71
Federico Di Francesco,0.8,0.2,1.2,0.0,0.4,0.3,0.0,0.0,6.37
Gabriel Strefezza,1.4,0.5,1.5,0.0,0.3,0.7,0.1,0.0,6.77
Giuseppe Pezzella,1.3,0.5,1.0,0.1,1.6,0.4,0.2,0.0,6.31
Joan González,1.4,0.5,1.0,0.1,0.7,1.0,0.2,1.0,6.39
Joel Voelkerling Persson,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,6.06
Kastriot Dermaku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89
Kristijan Bistrovic,0.3,0.0,0.2,0.0,0.4,0.5,0.0,0.0,6.15
Kristoffer Askildsen,0.3,0.5,1.0,0.0,0.3,0.3,0.2,0.0,6.21
Lameck Banda,0.8,0.2,0.9,0.0,0.1,0.7,0.1,0.0,6.36
Lorenzo Colombo,0.5,0.1,1.1,0.0,0.2,0.2,0.0,0.0,6.3
Marcin Listkowski,0.0,0.6,0.4,0.0,0.4,0.0,0.0,0.0,6.06
Marin Pongracic,1.8,1.8,1.7,0.4,3.3,0.2,0.3,0.0,6.62
Mert Çetin,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.01
Morten Hjulmand,2.6,2.1,1.7,0.0,1.5,0.9,0.3,0.0,6.82
Pablo Rodríguez,0.5,0.0,0.3,0.0,0.0,0.5,0.0,0.0,6.03
Pietro Ceccaroni,0.0,1.5,0.0,0.5,1.0,0.0,0.5,0.0,6.33
Remi Oudin,0.8,0.9,0.3,0.0,0.6,0.4,0.1,0.0,6.58
Samuel Umtiti,2.1,1.0,1.3,0.1,3.1,0.3,0.6,0.0,6.62
Simone Romagnoli,0.9,0.1,0.4,0.4,1.4,0.0,0.1,0.0,6.22
Thórir Helgason,0.2,0.3,0.2,0.1,0.3,0.1,0.1,0.0,6.13
Tommaso Cassandro,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.23
Valentin Gendrey,2.4,1.0,0.6,0.2,2.1,0.8,0.1,0.0,6.62
Wladimiro Falcone,0.1,0.1,0.0,0.0,1.3,0.0,0.0,0.0,6.65
Youssef Maleh,1.0,0.3,1.3,0.0,0.5,0.5,0.1,0.0,6.18
